FIGHTER,UFC_URL,HEIGHT
Azamat Gashimov,http://ufcstats.com/fighter-details/a373085066dbfb54,Not Fighting
Brian Gassaway,,Not Fighting
Paul Georgieff,http://ufcstats.com/fighter-details/1e13936d708bcff7,Not Fighting
Brian Geraghty,,Not Fighting
Darrel Gholar,,Not Fighting
Tiki Ghosn,,Not Fighting
James Giboo,http://ufcstats.com/fighter-details/6e8f1bcdda94ff45,Not Fighting
Lance Gibson,,
Joseph Gigliotti,http://ufcstats.com/fighter-details/7460ddef986d3144,
Joey Gilbert,http://ufcstats.com/fighter-details/d26934530dc5b248,Not Fighting
Jason Gilliam,http://ufcstats.com/fighter-details/b03a0c78ca45facf,Not Fighting
Bob Gilstrap,,Not Fighting
He-Man Gipson,,Not Fighting
Jason Godsey,,
Allan Goes,http://ufcstats.com/fighter-details/6ebe96a116e79e52,Not Fighting
Ulysses Gomez,,Not Fighting
Lewis Gonzalez,,Not Fighting
Pearl Gonzalez,,Not Fighting
Gary Goodridge,,Not Fighting
Tim Gorman,,Not Fighting
Chase Gormley,,
Royce Gracie,http://ufcstats.com/fighter-details/669a3cb6e394f515,Retired
Renzo Gracie,,Not Fighting
Rolles Gracie,,Not Fighting
Steven Graham,,
Neil Grove,,Not Fighting
Nandor Guelmino,http://ufcstats.com/fighter-details/17615148dd4be6f6,Not Fighting
Leonardo Guimaraes,http://ufcstats.com/fighter-details/6db394bf6c3b017c,
Brad Gumm,,Not Fighting
Fabio Gurgel,http://ufcstats.com/fighter-details/501821d7fb7b95c1,Not Fighting
Andre Gusmao,http://ufcstats.com/fighter-details/20821819c401ced8,Not Fighting
Horacio Gutierrez,http://ufcstats.com/fighter-details/90063913321e7670,Not Fighting
Keith Hackney,,Not Fighting
Mark Hall,,Not Fighting
Tony Halme,,Not Fighting
John Halverson,http://ufcstats.com/fighter-details/989b85f6540c86b1,Not Fighting
Frank Hamaker,,Not Fighting
James Hammortree,,Not Fighting
Gerry Harris,,Not Fighting
Collin Hart,http://ufcstats.com/fighter-details/047a91d3d9c79b05,Not Fighting
Chris Haseman,http://ufcstats.com/fighter-details/ee0b69e307c857e5,Not Fighting
Hayder Hassan,,Not Fighting
Tommy Hayden,http://ufcstats.com/fighter-details/93fe7332d16c6ad9,Not Fighting
Josh Haynes,http://ufcstats.com/fighter-details/0c1a04afca64e38f,Not Fighting
Chris Heatherly,http://ufcstats.com/fighter-details/ee0b69e307c857e5,Not Fighting
Delson Heleno,,Not Fighting
Josh Hendricks,http://ufcstats.com/fighter-details/0c1a04afca64e38f,Not Fighting
Cory Hendricks,,Not Fighting
Noe Hernandez,,Not Fighting
Ramiro Hernandez,http://ufcstats.com/fighter-details/6d35bf94f7d30241,
Paul Herrera,,Not Fighting
Jon Hess,,Not Fighting
Richie Hightower,http://ufcstats.com/fighter-details/210935fd21670f6d,Not Fighting
Branden Lee Hinkle,,
Kwan Ho Kwak,,Not Fighting
Bobby Hoffman,,Not Fighting
Sam Hoger,http://ufcstats.com/fighter-details/0e9869d712e81f8f,Not Fighting
Chris Holdsworth,http://ufcstats.com/fighter-details/ee0b69e307c857e5,Not Fighting
Roger Hollett,,Not Fighting
Rex Holman,,Not Fighting
Mark Holst,,Not Fighting
Satoshi Honma,,Not Fighting
David Hood,http://ufcstats.com/fighter-details/b361180739bed4b0,Not Fighting
Moti Horenstein,,Not Fighting
Jamey-Lyn Horth,,Active
Matt Horwich,http://ufcstats.com/fighter-details/8738eacd62e82a32,Active
Saeed Hosseini,,Not Fighting
Brian Houston,http://ufcstats.com/fighter-details/0541480fbf719d86,Not Fighting
Harold Howard,http://ufcstats.com/fighter-details/040a74bb0a465c54,Not Fighting
Shane Howell,http://ufcstats.com/fighter-details/1ffc38f67785797b,Not Fighting
Mark Hughes,,Not Fighting
Alex Hunter,http://ufcstats.com/fighter-details/1562b12763cc8d67,Retired
Solomon Hutcherson,,Not Fighting
Minoki Ichihara,http://ufcstats.com/fighter-details/269d103c96a4c3a5,Not Fighting
Valeri Ignatov,,Not Fighting
Fabiano Iha,,Not Fighting
Brad Imes,,Not Fighting
Chris Indich,http://ufcstats.com/fighter-details/ee0b69e307c857e5,Not Fighting
Guto Inocente,,Not Fighting
Enson Inoue,,Not Fighting
Wallid Ismail,,Not Fighting
Yoislandy Izquierdo,http://ufcstats.com/fighter-details/9199e0735b83dd32,Not Fighting
Kevin Jackson,http://ufcstats.com/fighter-details/cf946e03ba2e7666,Not Fighting
Eugene Jackson,,Not Fighting
Jeremy Jackson,,Not Fighting
Mike Jackson,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,Not Fighting
Justin James,http://ufcstats.com/fighter-details/bf0e700106d00e55,Not Fighting
Brock Jardine,,Not Fighting
Trent Jenkins,,Not Fighting
Steve Jennum,,Not Fighting
Chan-Mi Jeon,,
Maciej Jewtuszko,,Released
Ronald Jhun,,Not Fighting
Phil Johns,http://ufcstats.com/fighter-details/989b85f6540c86b1,Not Fighting
Dashon Johnson,http://ufcstats.com/fighter-details/989b85f6540c86b1,Not Fighting
Brian Johnston,http://ufcstats.com/fighter-details/989b85f6540c86b1,Not Fighting
Paul Jones,,Not Fighting
Marcus Jones,http://ufcstats.com/fighter-details/04643fd03d9159cc,Not Fighting
Justin Jones,http://ufcstats.com/fighter-details/bf0e700106d00e55,Active
Kevin Jordan,http://ufcstats.com/fighter-details/cf946e03ba2e7666,Not Fighting
Joe Jordan,http://ufcstats.com/fighter-details/e4ba58725825412d,Not Fighting
Jeff Joslin,,Not Fighting
Steve Judson,,Not Fighting
Scott Junk,http://ufcstats.com/fighter-details/2620f3eb21c79614,Not Fighting
Emily Kagan,,
Sirwan Kakai,http://ufcstats.com/fighter-details/d33da8a3d82bdb62,Not Fighting
Geza Kalman,http://ufcstats.com/fighter-details/c11036da9162cb5f,
David Kaplan,http://ufcstats.com/fighter-details/b361180739bed4b0,
Yusuke Kasuya,http://ufcstats.com/fighter-details/8d3273573b85be09,Not Fighting
Julie Kedzie,,Not Fighting
CJ Keith,,Not Fighting
Steve Kennedy,,
Mark Kerr,,Not Fighting
Sanae Kikuta,,
Mike King,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,Not Fighting
Koji Kitao,,Not Fighting
Brad Kohler,,Not Fighting
Tsuyoshi Kohsaka,,
John Kolosci,http://ufcstats.com/fighter-details/989b85f6540c86b1,Not Fighting
Yuki Kondo,,Not Fighting
Pascal Krauss,,Not Fighting
Keigo Kunihara,http://ufcstats.com/fighter-details/269d103c96a4c3a5,Not Fighting
Leo Kuntz,,Not Fighting
Tina Lahdemaki,,Retired
Tim Lajcik,,Not Fighting
Austen Lane,http://ufcstats.com/fighter-details/bf0e700106d00e55,Active
Anthony Lapsley,http://ufcstats.com/fighter-details/a77633a989013265,Not Fighting
Icho Larenas,http://ufcstats.com/fighter-details/9c9455912d917e4e,Not Fighting
Sione Latu,,Not Fighting
Dan Lauzon,http://ufcstats.com/fighter-details/e4ba58725825412d,Not Fighting
James Lee,,Not Fighting
David Lee,http://ufcstats.com/fighter-details/b361180739bed4b0,Not Fighting
Jackie Lee,,Not Fighting
Rocky Lee,,Not Fighting
Christophe Leninger,http://ufcstats.com/fighter-details/ee0b69e307c857e5,
Alberta Cerra Leon,http://ufcstats.com/fighter-details/7bd94b60d7521e4a,
Kimo Leopoldo,,Not Fighting
Frank Lester,,Not Fighting
Justin Levens,http://ufcstats.com/fighter-details/bf0e700106d00e55,
David Levicki,http://ufcstats.com/fighter-details/b361180739bed4b0,Not Fighting
John Lewis,http://ufcstats.com/fighter-details/989b85f6540c86b1,Not Fighting
Jess Liaudin,,Not Fighting
Zach Light,,Not Fighting
Chris Liguori,http://ufcstats.com/fighter-details/ee0b69e307c857e5,
Jake Lindsey,,Not Fighting
Lucio Linhares,http://ufcstats.com/fighter-details/db3c4a884d704efe,Not Fighting
Abner Lloveras,,Not Fighting
John Lober,http://ufcstats.com/fighter-details/989b85f6540c86b1,Not Fighting
Dileno Lopes,,Not Fighting
Steve Lopez,,Not Fighting
Jorge Lopez,,Not Fighting
Nate Loughran,,Not Fighting
Ian Loveland,http://ufcstats.com/fighter-details/9199e0735b83dd32,Not Fighting
Waylon Lowe,,Not Fighting
Robert Lucarelli,,Not Fighting
Matt Lucas,http://ufcstats.com/fighter-details/11583163f45c7b31,Not Fighting
Mike Lullo,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,Not Fighting
Thaddeus Luster,,Not Fighting
Stevie Lynch,,Not Fighting
