FIRST,LAST,NICKNAME,URL
Humberto,Bandenay,,http://ufcstats.com/fighter-details/2c2caf2f2bab9df5
Yohan,Banks,,http://ufcstats.com/fighter-details/c50ea21fe9ef478d
Antonio,Banuelos,,http://ufcstats.com/fighter-details/9ddfb3369a3b0394
Junior,Barata,,http://ufcstats.com/fighter-details/06dced58ca24a6bd
Raoni,Barcelos,,http://ufcstats.com/fighter-details/b9f28e7045fdfce7
Daniel,Barez,,http://ufcstats.com/fighter-details/e8fe9c15d348e778
Nick,Barnes,,http://ufcstats.com/fighter-details/78a5eea49638685d
Chris,Barnhizer,,http://ufcstats.com/fighter-details/91e69a1c3c87325b
David,Baron,,http://ufcstats.com/fighter-details/80c0bed43da0e27b
Carlos,Barreto,,http://ufcstats.com/fighter-details/a220be6d41d6f97d
Jose,Barreto,,http://ufcstats.com/fighter-details/c32eab6c2119e989
David,Barrios,,http://ufcstats.com/fighter-details/e6015889f50075d2
Ricardo,Barros,,http://ufcstats.com/fighter-details/d26394fc0e8e880a
Austin,Bashi,,http://ufcstats.com/fighter-details/d3f89fa685bd8420
Sean,Bassett,,http://ufcstats.com/fighter-details/2c733e059462c1dc
Michel,Batista,,http://ufcstats.com/fighter-details/34218661c44ed55d
Mario,Bautista,,http://ufcstats.com/fighter-details/bc711b6dd95c1af6
Rudy,Bears,,http://ufcstats.com/fighter-details/74f13066b1417ef3
Salvador,Becerra,,http://ufcstats.com/fighter-details/4fd76e7ba8313457
Ariel,Beck,,http://ufcstats.com/fighter-details/b96939f2b8d88e82
Chase,Beebe,,http://ufcstats.com/fighter-details/b16a7e6a627e9789
Mirsad,Bektic,,http://ufcstats.com/fighter-details/cbd3e590a85b18c5
Yousri,Belgaroui,,http://ufcstats.com/fighter-details/7674b836ce0698a0
Joseph,Benavidez,,http://ufcstats.com/fighter-details/80eacd4da0617c57
Karla,Benitez,,http://ufcstats.com/fighter-details/6104730621ff318d
Josh,Bennett,,http://ufcstats.com/fighter-details/c3ac8d0da7b05772
Lance,Benoist,,http://ufcstats.com/fighter-details/5431dccc09118234
Joe,Benoit,,http://ufcstats.com/fighter-details/a30f6d375dea5f9b
Pat,Benson,,http://ufcstats.com/fighter-details/a25f3dc0df974597
Len,Bentley,,http://ufcstats.com/fighter-details/592d23aed850e652
Kenneth,Bergh,,http://ufcstats.com/fighter-details/aa8189053b3a8994
Talita,Bernardo,,http://ufcstats.com/fighter-details/5b2325cd70dbe2ea
Dave,Berry,,http://ufcstats.com/fighter-details/b3bbe88fecd6a0d2
Keith,Berry,,http://ufcstats.com/fighter-details/0b935b9bbbe5fc07
Dieusel,Berto,,http://ufcstats.com/fighter-details/0db70ca89e1c7374
Scott,Bessac,,http://ufcstats.com/fighter-details/3f24c96753dbd9f9
