EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL
UFC 27: Ultimate Bad Boyz ,Ian Freeman  vs. Tedd Williams ,W/L,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),John McCarthy,,http://ufcstats.com/fight-details/ae54f944d1ba378f
UFC 27: Ultimate Bad Boyz ,Jeff Monson  vs. Tim Lajcik ,W/L,Heavyweight Bout,Decision - Unanimous ,2,5:00,2 Rnd (5-5),Mario Yamasaki,,http://ufcstats.com/fight-details/075dee476361e83e
UFC 27: Ultimate Bad Boyz ,Brad Gumm  vs. CJ Fernandes ,D/D,Welterweight Bout,Decision - Unanimous ,2,5:00,2 Rnd (5-5),Mario Yamasaki,,http://ufcstats.com/fight-details/c078544a32e18ba3
UFC 26: Ultimate Field Of Dreams ,Kevin Randleman  vs. Pedro Rizzo ,W/L,UFC Heavyweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,,http://ufcstats.com/fight-details/cef1b43c77e02635
UFC 26: Ultimate Field Of Dreams ,Tyrone Roberts  vs. David Dodd ,W/L,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),John McCarthy,,http://ufcstats.com/fight-details/60e5b2c1bdaa203e
UFC 26: Ultimate Field Of Dreams ,Jens Pulver  vs. Joao Roque ,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,,http://ufcstats.com/fight-details/8452f6d5a1450cfb
UFC 26: Ultimate Field Of Dreams ,Shonie Carter  vs. Adrian Serrano ,W/L,Welterweight Bout,Decision - Unanimous ,2,5:00,2 Rnd (5-5),John McCarthy,,http://ufcstats.com/fight-details/85f28a8276a141b6
UFC 25: Ultimate Japan 3 ,Ron Waterman  vs. Satoshi Honma ,W/L,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),John McCarthy,,http://ufcstats.com/fight-details/f6066d192a16f5ff
UFC 25: Ultimate Japan 3 ,Laverne Clark  vs. Koji Oishi ,W/L,Lightweight Bout,Decision - Majority ,3,5:00,3 Rnd (5-5-5),John McCarthy,,http://ufcstats.com/fight-details/cf8fe599f0b44fd5
UFC 24: First Defense ,Dave Menne  vs. Fabiano Iha ,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),John McCarthy,,http://ufcstats.com/fight-details/aca2f98ee112d137
