FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,UFC_URL,MMADECISIONS_URL
Jay Cucciniello,"66.00""",145.00 lbs.,"68.00""",,,,
Larry Cureton,"0.00""",0.00 lbs.,,,,,
Cindy Dandois,"67.00""",135.00 lbs.,,,,http://ufcstats.com/fighter-details/17615148dd4be6f6,
Alexandre Dantas,"74.00""",231.00 lbs.,,,,http://ufcstats.com/fighter-details/20821819c401ced8,
Sean Daugherty,,,,,,http://ufcstats.com/fighter-details/e741536153227386,
Rick Davis,"69.00""",155.00 lbs.,,,,,
Mike Davis,"72.00""",155.00 lbs.,"72.50""",,,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,
Rodrigo de Lima,"67.00""",154.50 lbs.,"75.00""",,,,
Edilberto de Oliveira,,,,,,http://ufcstats.com/fighter-details/d26934530dc5b248,
Jorge de Oliveira,"68.00""",156.00 lbs.,"71.00""",,,http://ufcstats.com/fighter-details/55ee431411ccf07a,
Tom DeBlass,"72.00""",185.00 lbs.,,,,http://ufcstats.com/fighter-details/93fe7332d16c6ad9,
Shane del Rosario,"76.00""",244.00 lbs.,,,,http://ufcstats.com/fighter-details/c61b49cec6abd6b9,
Jason DeLucia,"71.00""",190.00 lbs.,,,,http://ufcstats.com/fighter-details/9bcfb40dbcd50568,
Nick Denis,"67.00""",135.00 lbs.,,,,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb,
Edwin DeWees,"73.00""",186.00 lbs.,,,,http://ufcstats.com/fighter-details/6cadc0a0ba7dc015,
Eldo Xavier Dias,,,,,,,
David Dodd,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/b361180739bed4b0,
Cameron Dollar,"71.00""",154.00 lbs.,,,,,
Houston Dorr,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/0541480fbf719d86,
Antonio Dos Santos,"70.00""",185.00 lbs.,"72.00""",,,http://ufcstats.com/fighter-details/dbd198f780286aca,
John Dowdy,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/989b85f6540c86b1,
Derek Downey,"71.00""",186.00 lbs.,,,,http://ufcstats.com/fighter-details/19ba965651486013,
Robert Drysdale,"75.00""",202.50 lbs.,,,,http://ufcstats.com/fighter-details/70fa1c64a2c439ef,
Hugo Duarte,"0.00""",0.00 lbs.,,,,http://ufcstats.com/fighter-details/d25e39e74efb0a77,
Milana Dudieva,"65.00""",135.00 lbs.,"61.00""",,,,
Alexis Dufresne,"69.00""",138.00 lbs.,"68.00""",,,http://ufcstats.com/fighter-details/1562b12763cc8d67,
Kelly Dullanty,"68.00""",154.00 lbs.,,,,,
